"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"172","NDM6212","NDM6212 - Government Debate","Jane Hutt",2017-01-17,2017-01-17,"To propose that the National Assembly for Wales:1. Recognises the progress made in partnership with other public bodies and the third sector to promote greater equality in Wales, as demonstrated in the Annual Report on Equality 2015-2016 and Welsh Ministers' Interim Report on Equality 2016.2. Reaffirms the Assembly's commitment to making Wales a fairer, more equal nation.'Annual Report on Equality 2015-2016 and Welsh Ministers' Interim Report on Equality 2016'"
"173","NDM6213","NDM6213 - Short Debate","Russell George",2017-01-18,2017-01-18,"Short Debate"
"174","NDM6214","NDM6214 - Assembly Debate","Caroline Jones",2017-01-18,2017-01-18,"To propose that the National Assembly for Wales:1. Recognises that the majority of patients their first, and sometimes only, contact with the NHS is through general practice.2. Regrets that, despite this, general practice receives less than eight per cent of the health budget.3. Calls on the Welsh Government to prioritise general practice with significant investment in resources, people and infrastructure."
"175","NDM6215","NDM6215 - Assembly Debate","Paul Davies",2017-01-18,2017-01-18,"To propose that the National Assembly for Wales:1. Notes the international trend to evaluate cities on liveability, green and sustainability criteria.2. Believes that cities and urban areas are a key driver for economic resilience and prosperity.3. Commends the value of the following objectives and strategies to promote urban renewal and regeneration:a) access to clean, open space;b) availability of affordable housing;c) effective traffic management and the provision of high quality public transport;d) the development of active transport routes, including the re-designation on some existing routes for cycling and walking;e) high standards of air quality;f) investment in the design quality of public and landmark buildings;g) the involvement of citizens in plans to improve amenities, both on a city-wide and neighbourhood basis; andh) the centrality of the city-region concept to the regeneration of hinterlands, such as the South Wales Valleys."
"176","NDM6217","NDM6217 - Government Debate","Jane Hutt",2017-01-24,2017-01-24,"To propose that the National Assembly for Wales:1. Recognises the progress made in partnership with other public bodies and the third sector to promote greater equality in Wales, as demonstrated in the Annual Report on Equality 2015-2016 and Welsh Ministers' Interim Report on Equality 2016, and 2. Reaffirms the Assembly's commitment to making Wales a fairer, more equal nation.'Annual Report on Equality 2015-2016 and Welsh Ministers' Interim Report on Equality 2016'"
"177","NDM6218","NDM6218 - Government Debate","Jane Hutt",2017-01-24,2017-01-24,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:Approves that the draft The Education Workforce Council (Registration Fees) Regulations 2017 is made in accordance with the draft laid in the Table Office on 12 December 2016."
"178","NDM6219","NDM6219 - Government Debate","Jane Hutt",2017-01-24,2017-01-24,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5:Approves that the draft The Welsh Language Standards (No.6) Regulations 2017 is made in accordance with the draft laid in the Table Office on 15 December 2016."
"179","NDM6220","NDM6220 - Assembly Debate","Dai Lloyd",2017-01-25,2017-02-01,"To propose that the National Assembly for Wales:Notes the report of the Health, Social Care and Sport Committee on the inquiry into winter preparedness 2016-17, which was laid in the Table Office on 9 December 2016.Note: The response of the Cabinet Secretary for Health, Well-being and Sport to the report was laid in the Table Office on 25 January 2017."
"180","NDM6221","NDM6221 - Short Debate","Nick Ramsay",2017-01-25,2017-01-25,"Short Debate"
"181","NDM6222","NDM6222 - Debate on Members’ Legislative Proposal","Suzy Davies",2017-01-25,2017-01-25,"To propose that the National Assembly for Wales:1. Notes a proposal for a Bill on life saving skills.2. Notes that the purpose of the Bill would be to:a) create statutory rights for people to receive age appropriate life-saving skills education and training at various life stagesb) create statutory responsibilities to ensure:i) that life-saving skills training is provided;ii) provision of defibrillators in appropriate locations;iii) provision of life-saving skills trained individuals in key positions in public services (as an upgrade to an identified first aid person); andiv) that basic first aid materials are available to the public in public buildings not just the staff.c) create remedies and enforcement regarding the above."
"182","NDM6223","NDM6223 - Assembly Debate","Rhun ap Iorwerth",2017-01-25,2017-01-25,"To propose that the National Assembly for Wales:1. Believes that good social care services play an essential role in keeping the NHS sustainable.2. Notes that unpaid carers make a critical and unappreciated contribution towards ensuring the sustainability of health and social care and regrets the fall in the number of nights of respite care provided since 2011.3. Believes that community hospitals could play a vital role in providing respite care, and in easing the transition back to community health settings for those who have required hospital settings.4. Calls on the Welsh Government to reverse the practice of closing community hospitals and explore ways of restoring the availability of beds for use by both health and social care services"
"183","NDM6227","NDM6227 - Debate on Members’ Legislative Proposal","Simon Thomas",2017-01-27,2017-01-27,"To propose that the National Assembly for Wales:1. Notes a proposal for a Bill on waste reduction.2. Notes that the purpose of the Bill would be to reduce waste through placing requirements on food producers and retailers in respect of packaging."
"184","NDM6228","NDM6228 - Government Debate","Jane Hutt",2017-01-31,2017-01-31,"To propose that the National Assembly for Wales:"
"185","NDM6229","NDM6229 - Assembly Debate","Paul Davies",2017-02-01,2017-02-01,"To propose that the National Assembly for Wales:1. Recognises the vital contribution that further education and vocational skills make to the Welsh economy, especially in our most disadvantaged communities 2. Calls on the Welsh Government to commit to a three-year funding cycle for further education colleges at a fair level, to enable more sustainable planning and safeguard the skills needed to make local economies resilient.3. Calls on the Welsh Government to invest a significant proportion of the savings it expects to make as a result of changes to higher education student support into the further education sector, including into higher level skills delivered in a further education setting and Welsh language provision."
"186","NDM6230","NDM6230 - Assembly Debate","Lynne Neagle",2017-02-01,2017-02-01,"To propose that the National Assembly for Wales:Notes the report of the Children, Young People and Education Committee 'What type of youth service does Wales want? Report of the inquiry into Youth Work' which was laid in the Table Office on 15 December 2016."
